Label,Accuracy
performer,0.14285714285714285
located in or next to body of water,0.6571428571428571
country,0.3142857142857143
field of work,0.14285714285714285
work location,0.014285714285714285
licensed to broadcast to,0.1
mountain range,0.2857142857142857
location of formation,0.05714285714285714
publisher,0.4142857142857143
sport,0.42857142857142855
distributor,0.37142857142857144
participating team,0.37142857142857144
occupation,0.05714285714285714
heritage designation,0.9285714285714286
platform,0.4714285714285714
located on terrain feature,0.05714285714285714
constellation,0.9285714285714286
language of work or name,0.5857142857142857
after a work by,0.02857142857142857
developer,0.5428571428571428
instance of,0.0
mother,0.2714285714285714
child,0.1
manufacturer,0.38571428571428573
occupant,0.24285714285714285
located in the administrative territorial entity,0.4714285714285714
follows,0.14285714285714285
taxon rank,0.38571428571428573
subsidiary,0.05714285714285714
competition class,0.08571428571428572
spouse,0.4714285714285714
said to be the same as,0.014285714285714285
head of government,0.34285714285714286
tributary,0.6285714285714286
applies to jurisdiction,0.014285714285714285
screenwriter,0.3
crosses,0.6
winner,0.44285714285714284
genre,0.22857142857142856
main subject,0.18571428571428572
sports season of league or competition,0.05714285714285714
father,0.35714285714285715
composer,0.6857142857142857
member of political party,0.7285714285714285
original network,0.12857142857142856
residence,0.12857142857142856
voice type,0.5714285714285714
contains administrative territorial entity,0.014285714285714285
has part,0.17142857142857143
sibling,0.6571428571428571
position played on team / speciality,0.37142857142857144
director,0.6428571428571429
member of,0.35714285714285715
record label,0.8285714285714286
position held,0.014285714285714285
league,0.5571428571428572
operating system,0.9285714285714286
part of,0.17142857142857143
successful candidate,0.07142857142857142
notable work,0.04285714285714286
place served by transport hub,0.2571428571428571
movement,0.02857142857142857
owned by,0.38571428571428573
followed by,0.05714285714285714
original language of film or TV show,0.12857142857142856
location,0.38571428571428573
military rank,0.5142857142857142
characters,0.4714285714285714
operator,0.1
headquarters location,0.32857142857142857
architect,0.7714285714285715
country of origin,0.3142857142857143
instrument,0.45714285714285713
participant of,0.21428571428571427
religion,0.2571428571428571
country of citizenship,0.2571428571428571
nominated for,0.8857142857142857
mouth of the watercourse,0.14285714285714285
participant,0.4
military branch,0.37142857142857144
