Label,Accuracy
winner,0.42857142857142855
instrument,0.2571428571428571
country of origin,0.0
after a work by,0.0
participant,0.2
composer,0.35714285714285715
child,0.0
original language of film or TV show,0.3
military rank,0.08571428571428572
sport,0.02857142857142857
located in or next to body of water,0.9
mother,0.0
located on terrain feature,0.0
owned by,0.38571428571428573
followed by,0.02857142857142857
contains administrative territorial entity,0.0
mountain range,0.04285714285714286
part of,0.05714285714285714
position held,0.42857142857142855
military branch,0.35714285714285715
occupation,0.1
father,0.5714285714285714
architect,0.5714285714285714
notable work,0.07142857142857142
crosses,0.014285714285714285
operator,0.04285714285714286
location,0.15714285714285714
nominated for,0.7714285714285715
has part,0.0
characters,0.3
located in the administrative territorial entity,0.2
developer,0.4
tributary,0.7714285714285715
licensed to broadcast to,0.014285714285714285
applies to jurisdiction,0.02857142857142857
original network,0.7
record label,0.9714285714285714
genre,0.21428571428571427
competition class,0.02857142857142857
mouth of the watercourse,0.11428571428571428
heritage designation,0.7428571428571429
occupant,0.11428571428571428
place served by transport hub,0.05714285714285714
religion,0.14285714285714285
manufacturer,0.02857142857142857
publisher,0.3
member of political party,0.4714285714285714
movement,0.014285714285714285
main subject,0.4
position played on team / speciality,0.8285714285714286
headquarters location,0.18571428571428572
sibling,0.3142857142857143
director,0.11428571428571428
taxon rank,0.07142857142857142
distributor,0.02857142857142857
language of work or name,0.15714285714285714
constellation,0.8857142857142857
participating team,0.6285714285714286
country,0.0
spouse,0.32857142857142857
country of citizenship,0.4857142857142857
instance of,0.08571428571428572
follows,0.07142857142857142
location of formation,0.0
operating system,0.2
head of government,0.04285714285714286
league,0.08571428571428572
work location,0.02857142857142857
sports season of league or competition,0.21428571428571427
member of,0.04285714285714286
performer,0.08571428571428572
subsidiary,0.0
voice type,0.02857142857142857
residence,0.07142857142857142
successful candidate,0.2714285714285714
participant of,0.04285714285714286
platform,0.1
screenwriter,0.5428571428571428
field of work,0.11428571428571428
said to be the same as,0.5857142857142857
