Label,Accuracy
winner,0.0
instrument,0.014285714285714285
country of origin,0.0
after a work by,0.0
participant,0.0
composer,0.0
child,0.0
original language of film or TV show,0.0
military rank,0.0
sport,0.0
located in or next to body of water,0.3
mother,0.0
located on terrain feature,0.0
owned by,0.0
followed by,0.05714285714285714
contains administrative territorial entity,0.0
mountain range,0.0
part of,0.02857142857142857
position held,0.0
military branch,0.0
occupation,0.0
father,0.014285714285714285
architect,0.0
notable work,0.0
crosses,0.0
operator,0.0
location,0.0
nominated for,0.014285714285714285
has part,0.0
characters,0.014285714285714285
located in the administrative territorial entity,0.0
developer,0.05714285714285714
tributary,0.0
licensed to broadcast to,0.0
applies to jurisdiction,0.0
original network,0.0
record label,0.17142857142857143
genre,0.014285714285714285
competition class,0.0
mouth of the watercourse,0.0
heritage designation,0.0
occupant,0.02857142857142857
place served by transport hub,0.0
religion,0.0
manufacturer,0.0
publisher,0.04285714285714286
member of political party,0.014285714285714285
movement,0.0
main subject,0.2714285714285714
position played on team / speciality,0.14285714285714285
headquarters location,0.07142857142857142
sibling,0.0
director,0.0
taxon rank,0.04285714285714286
distributor,0.0
language of work or name,0.1
constellation,0.0
participating team,0.014285714285714285
country,0.04285714285714286
spouse,0.0
country of citizenship,0.07142857142857142
instance of,0.014285714285714285
follows,0.0
location of formation,0.0
operating system,0.014285714285714285
head of government,0.0
league,0.0
work location,0.014285714285714285
sports season of league or competition,0.0
member of,0.0
performer,0.0
subsidiary,0.0
voice type,0.0
residence,0.1
successful candidate,0.0
participant of,0.0
platform,0.0
screenwriter,0.0
field of work,0.014285714285714285
said to be the same as,0.0
