Label,Accuracy
performer,0.4857142857142857
located in or next to body of water,0.35714285714285715
country,0.05714285714285714
field of work,0.38571428571428573
work location,0.2
licensed to broadcast to,0.6142857142857143
mountain range,0.6285714285714286
location of formation,0.18571428571428572
publisher,0.6571428571428571
sport,0.45714285714285713
distributor,0.6285714285714286
participating team,0.3
occupation,0.5714285714285714
heritage designation,0.9
platform,0.8285714285714286
located on terrain feature,0.14285714285714285
constellation,0.9142857142857143
language of work or name,0.6571428571428571
after a work by,0.14285714285714285
developer,0.5285714285714286
instance of,0.18571428571428572
mother,0.05714285714285714
child,0.14285714285714285
manufacturer,0.44285714285714284
occupant,0.12857142857142856
located in the administrative territorial entity,0.44285714285714284
follows,0.2857142857142857
taxon rank,0.7714285714285715
subsidiary,0.15714285714285714
competition class,0.4142857142857143
spouse,0.6428571428571429
said to be the same as,0.6428571428571429
head of government,0.24285714285714285
tributary,0.4
applies to jurisdiction,0.11428571428571428
screenwriter,0.2571428571428571
crosses,0.2
winner,0.15714285714285714
genre,0.7
main subject,0.21428571428571427
sports season of league or competition,0.2
father,0.2714285714285714
composer,0.6
member of political party,0.34285714285714286
original network,0.5857142857142857
residence,0.17142857142857143
voice type,0.7142857142857143
contains administrative territorial entity,0.08571428571428572
has part,0.14285714285714285
sibling,0.7428571428571429
position played on team / speciality,0.6
director,0.7428571428571429
member of,0.35714285714285715
record label,0.8571428571428571
position held,0.37142857142857144
league,0.7285714285714285
operating system,0.5571428571428572
part of,0.2571428571428571
successful candidate,0.21428571428571427
notable work,0.32857142857142857
place served by transport hub,0.2571428571428571
movement,0.2571428571428571
owned by,0.37142857142857144
followed by,0.21428571428571427
original language of film or TV show,0.6714285714285714
location,0.42857142857142855
military rank,0.34285714285714286
characters,0.7142857142857143
operator,0.34285714285714286
headquarters location,0.24285714285714285
architect,0.6285714285714286
country of origin,0.21428571428571427
instrument,0.7285714285714285
participant of,0.15714285714285714
religion,0.6714285714285714
country of citizenship,0.42857142857142855
nominated for,0.7285714285714285
mouth of the watercourse,0.04285714285714286
participant,0.24285714285714285
military branch,0.44285714285714284
