Label,Accuracy
located in or next to body of water,0.1
owned by,0.014285714285714285
mother,0.07142857142857142
genre,0.17142857142857143
location,0.37142857142857144
place served by transport hub,0.02857142857142857
father,0.08571428571428572
subsidiary,0.04285714285714286
operating system,0.11428571428571428
position played on team / speciality,0.04285714285714286
head of government,0.05714285714285714
military rank,0.08571428571428572
distributor,0.05714285714285714
child,0.04285714285714286
located in the administrative territorial entity,0.07142857142857142
heritage designation,0.15714285714285714
has part,0.02857142857142857
religion,0.04285714285714286
winner,0.04285714285714286
military branch,0.08571428571428572
member of political party,0.05714285714285714
tributary,0.08571428571428572
record label,0.35714285714285715
sports season of league or competition,0.07142857142857142
original network,0.02857142857142857
residence,0.05714285714285714
director,0.35714285714285715
instrument,0.04285714285714286
architect,0.21428571428571427
instance of,0.02857142857142857
mountain range,0.07142857142857142
occupation,0.08571428571428572
platform,0.2714285714285714
notable work,0.0
voice type,0.04285714285714286
country of citizenship,0.1
spouse,0.3
original language of film or TV show,0.04285714285714286
constellation,0.11428571428571428
screenwriter,0.04285714285714286
main subject,0.02857142857142857
country of origin,0.04285714285714286
performer,0.04285714285714286
movement,0.02857142857142857
said to be the same as,0.02857142857142857
participant,0.04285714285714286
taxon rank,0.08571428571428572
crosses,0.08571428571428572
competition class,0.02857142857142857
location of formation,0.08571428571428572
publisher,0.4142857142857143
work location,0.04285714285714286
manufacturer,0.24285714285714285
part of,0.014285714285714285
country,0.04285714285714286
successful candidate,0.02857142857142857
located on terrain feature,0.04285714285714286
contains administrative territorial entity,0.05714285714285714
headquarters location,0.05714285714285714
mouth of the watercourse,0.07142857142857142
licensed to broadcast to,0.02857142857142857
characters,0.04285714285714286
language of work or name,0.07142857142857142
composer,0.32857142857142857
operator,0.05714285714285714
participating team,0.1
participant of,0.07142857142857142
developer,0.2
league,0.14285714285714285
sport,0.05714285714285714
followed by,0.02857142857142857
after a work by,0.02857142857142857
field of work,0.11428571428571428
follows,0.0
occupant,0.014285714285714285
applies to jurisdiction,0.02857142857142857
nominated for,0.1
position held,0.08571428571428572
member of,0.07142857142857142
sibling,0.2
