Label,Accuracy
heritage designation,0.11428571428571428
director,0.7285714285714285
characters,0.14285714285714285
successful candidate,0.35714285714285715
mountain range,0.18571428571428572
after a work by,0.5428571428571428
occupant,0.1
platform,0.7142857142857143
genre,0.6428571428571429
follows,0.21428571428571427
constellation,0.07142857142857142
religion,0.4857142857142857
nominated for,0.4
located in or next to body of water,0.34285714285714286
military branch,0.3142857142857143
distributor,0.4714285714285714
publisher,0.6
mother,0.12857142857142856
developer,0.5714285714285714
has part,0.04285714285714286
father,0.17142857142857143
place served by transport hub,0.04285714285714286
position held,0.3
followed by,0.12857142857142856
part of,0.34285714285714286
sports season of league or competition,0.44285714285714284
sibling,0.6142857142857143
country of origin,0.07142857142857142
original network,0.4142857142857143
field of work,0.2
instance of,0.08571428571428572
architect,0.4
main subject,0.1
instrument,0.5
performer,0.4
residence,0.22857142857142856
crosses,0.3142857142857143
manufacturer,0.34285714285714286
occupation,0.7
spouse,0.7857142857142857
language of work or name,0.32857142857142857
work location,0.07142857142857142
position played on team / speciality,0.5142857142857142
contains administrative territorial entity,0.24285714285714285
participant of,0.34285714285714286
taxon rank,0.04285714285714286
member of,0.5571428571428572
military rank,0.5571428571428572
location,0.3142857142857143
participating team,0.17142857142857143
league,0.5285714285714286
country of citizenship,0.14285714285714285
record label,0.6
licensed to broadcast to,0.34285714285714286
participant,0.1
movement,0.15714285714285714
notable work,0.12857142857142856
voice type,0.6285714285714286
applies to jurisdiction,0.14285714285714285
located on terrain feature,0.1
owned by,0.11428571428571428
located in the administrative territorial entity,0.4142857142857143
original language of film or TV show,0.2714285714285714
composer,0.5142857142857142
child,0.2
screenwriter,0.14285714285714285
headquarters location,0.18571428571428572
member of political party,0.24285714285714285
head of government,0.17142857142857143
tributary,0.5142857142857142
said to be the same as,0.34285714285714286
winner,0.05714285714285714
operator,0.22857142857142856
mouth of the watercourse,0.11428571428571428
country,0.02857142857142857
location of formation,0.2
subsidiary,0.1
operating system,0.22857142857142856
competition class,0.4142857142857143
sport,0.34285714285714286
