Label,Accuracy
heritage designation,0.08571428571428572
director,0.5142857142857142
characters,0.05714285714285714
successful candidate,0.08571428571428572
mountain range,0.08571428571428572
after a work by,0.15714285714285714
occupant,0.02857142857142857
platform,0.24285714285714285
genre,0.14285714285714285
follows,0.014285714285714285
constellation,0.02857142857142857
religion,0.1
nominated for,0.04285714285714286
located in or next to body of water,0.17142857142857143
military branch,0.14285714285714285
distributor,0.02857142857142857
publisher,0.4857142857142857
mother,0.12857142857142856
developer,0.37142857142857144
has part,0.04285714285714286
father,0.1
place served by transport hub,0.04285714285714286
position held,0.11428571428571428
followed by,0.04285714285714286
part of,0.014285714285714285
sports season of league or competition,0.24285714285714285
sibling,0.34285714285714286
country of origin,0.11428571428571428
original network,0.11428571428571428
field of work,0.08571428571428572
instance of,0.04285714285714286
architect,0.5285714285714286
main subject,0.1
instrument,0.08571428571428572
performer,0.2571428571428571
residence,0.08571428571428572
crosses,0.1
manufacturer,0.2571428571428571
occupation,0.2571428571428571
spouse,0.4714285714285714
language of work or name,0.17142857142857143
work location,0.1
position played on team / speciality,0.17142857142857143
contains administrative territorial entity,0.07142857142857142
participant of,0.2
taxon rank,0.02857142857142857
member of,0.18571428571428572
military rank,0.2571428571428571
location,0.2857142857142857
participating team,0.08571428571428572
league,0.17142857142857143
country of citizenship,0.15714285714285714
record label,0.32857142857142857
licensed to broadcast to,0.11428571428571428
participant,0.04285714285714286
movement,0.12857142857142856
notable work,0.1
voice type,0.17142857142857143
applies to jurisdiction,0.05714285714285714
located on terrain feature,0.014285714285714285
owned by,0.05714285714285714
located in the administrative territorial entity,0.14285714285714285
original language of film or TV show,0.11428571428571428
composer,0.38571428571428573
child,0.05714285714285714
screenwriter,0.14285714285714285
headquarters location,0.05714285714285714
member of political party,0.34285714285714286
head of government,0.07142857142857142
tributary,0.1
said to be the same as,0.1
winner,0.11428571428571428
operator,0.15714285714285714
mouth of the watercourse,0.02857142857142857
country,0.1
location of formation,0.12857142857142856
subsidiary,0.02857142857142857
operating system,0.07142857142857142
competition class,0.05714285714285714
sport,0.07142857142857142
